id,c1,c2,c3,c4,c5,c6
95045,1.6618,2.7126,2.0577,0.0,0.0,2.5083
95046,1.5225,2.6391,4.992,2.5355,2.5544,6.3427
95047,0.0,1.652,0.8723,0.0,0.0,5.9197
95048,0.0,1.2876,1.9445,1.1989,0.0,0.0
95049,0.3174,0.0,1.7312,0.0,1.7945,0.8306
95050,0.38,2.5173,1.9553,0.9146,0.8622,0.64
95051,0.0,1.861,1.4182,0.0,3.3885,1.426
95052,0.4787,2.6679,4.1332,1.8205,3.6809,0.8373
95053,0.4049,1.2612,2.5512,0.0,1.2612,0.0
95054,2.017,2.5527,8.0508,0.0,2.0883,4.5701
85946,1.1284,7.1865,7.555,0.0,0.9838,2.0794
95055,1.8383,0.544,4.1832,0.0,2.5219,1.1171
95056,0.0,4.8858,6.3113,1.4905,4.5781,3.0752
95057,0.22,2.4232,2.964,0.0,0.0,0.0
95058,2.1334,2.9048,9.2529,0.7955,3.5404,2.1081
95059,0.0,0.7598,6.5175,0.0,0.0,3.4963
95060,1.5385,0.9039,5.3296,0.9781,0.9781,0.9781
95061,1.0781,3.2656,3.1926,0.7363,1.2425,1.1695
95063,0.5185,2.8879,2.5374,0.4632,2.6439,0.9707
95064,0.6823,0.0,2.4957,0.0,0.0,1.4304
85947,2.7731,7.865,3.2766,0.0,1.3723,4.9459
95065,0.3696,1.8793,2.1226,0.6044,1.6042,0.5429
95066,0.1924,1.1408,3.5202,1.1245,2.3302,0.9373
95067,0.1481,1.9792,2.9079,1.118,3.205,1.272
95068,0.0,2.7217,2.7217,1.3592,2.218,0.0
95069,0.2652,1.8829,2.9374,0.0,0.0,1.4205
95070,1.9628,4.5229,8.5002,0.0,2.4459,4.4254
95071,1.9628,4.5229,8.5002,0.0,2.4459,4.4254
95073,0.3759,1.7627,2.2346,0.4292,1.3267,0.0
95074,0.0,3.332,3.5987,0.9549,0.7973,0.0
85948,1.4648,4.9965,8.5166,1.2279,4.2927,3.6394
95075,3.4004,1.9141,5.8013,1.1195,4.6433,3.5905
95076,0.0,1.0707,1.8929,0.0,2.9636,0.0
95078,0.7535,2.5638,1.2521,0.0,3.1119,0.7535
95079,0.0,2.0044,3.5866,0.0,4.6742,0.7234
95080,0.0,4.853,7.7001,0.0,3.462,4.8496
95081,0.79,3.3457,1.3201,0.0,5.6822,1.766
95082,0.0,1.2706,4.8406,1.6249,1.6778,1.8253
95083,2.4066,5.7909,6.2977,3.4269,2.1034,1.1176
95084,1.3643,6.4423,7.8455,2.3075,4.7195,3.0241
85949,0.9343,0.8798,3.013,0.9881,1.8741,2.2612
85037,0.0,0.0,4.7803,2.7389,2.7389,0.0
95085,0.0,3.1498,4.6821,0.6902,2.6739,1.8154
95086,1.6681,4.9734,8.1573,1.5086,4.5823,1.5367
95087,0.4614,6.85,8.1261,0.0,0.6049,0.8841
95088,0.0,1.5278,2.5832,0.9972,0.0,3.6679
95089,0.0,0.8484,1.6769,0.0,0.0,0.0
95090,0.4392,2.9661,0.7523,0.9108,2.2889,0.1989
95091,1.855,1.9134,3.9493,0.0,5.6792,0.864
95092,2.7687,5.7844,5.4784,0.618,2.4684,1.5657
95093,3.3863,3.9246,5.9086,1.6105,2.5436,2.633
95094,0.0,4.6864,6.8871,2.2945,2.3591,2.4361
85950,0.5212,0.5629,2.9984,0.0,0.0,0.5212
95095,1.4588,2.2863,7.7602,0.5555,1.0016,3.8448
95096,0.8197,3.551,3.7538,0.3782,0.3782,2.2598
95097,0.3962,1.2786,3.2373,1.2786,1.2786,4.274
95098,1.2058,4.0185,2.119,0.9299,4.8088,1.9743
95100,4.9667,3.0945,5.2543,2.7725,1.6445,2.8584
95102,1.6094,0.0,3.3328,1.7814,4.6298,1.4036
95103,0.0,3.7394,2.4542,1.0269,1.9423,0.0
95104,0.9192,4.5129,0.8714,0.8636,3.3623,2.2135
85951,0.0,0.7762,4.43,0.0,2.4998,0.0
95105,1.9909,1.036,2.5384,0.0,0.0,1.036
95106,0.0,1.2061,2.8988,1.917,1.9569,2.9895
95107,0.6577,3.4526,5.3139,1.795,3.2161,1.1127
95108,1.185,4.1962,4.1978,1.1728,0.0,0.4899
95109,0.0,1.2851,2.3589,0.0,0.0,0.0
95110,0.3353,2.2375,5.2582,5.2069,0.6216,2.2046
95111,1.8112,4.4131,4.6784,0.8294,1.13,3.7749
95112,0.7222,2.1473,3.7279,1.7694,2.5254,1.8477
95113,1.3105,4.5116,5.0586,4.4384,3.9339,1.8472
95114,0.0,0.9347,2.0314,0.8254,0.9347,0.9347
85952,0.0,1.8738,2.5898,0.9274,1.8738,0.0
95115,0.6365,1.6187,6.6388,1.5477,3.1639,2.5676
95116,0.0,6.4379,3.8459,0.9381,0.628,0.8075
95117,2.4456,10.338,5.7146,0.3586,2.9433,1.8407
95118,2.5823,2.4695,2.7985,0.3795,4.5611,2.9824
95119,0.7819,4.1126,2.1106,0.0,0.0,2.4966
95120,0.4662,3.2337,1.7505,0.6129,1.5261,1.2369
95121,2.074,4.5067,0.6522,0.0,3.8662,4.0366
95122,2.2747,4.2304,5.6909,1.0633,2.891,3.8356
95123,0.0,0.0,7.0595,1.5794,1.4394,3.2447
95124,2.1464,2.5229,2.513,0.0,0.0,3.1938
85953,0.0,0.0,4.7141,1.1018,1.1018,0.0
95125,0.4527,0.6343,2.873,0.0,1.7196,1.7196
95126,1.7108,1.921,2.0496,1.7818,0.5237,1.921
95127,1.9403,0.7712,3.2304,1.9403,1.2901,3.0725
95128,0.3949,0.7235,6.8852,0.0,1.4689,0.7477
95129,0.2797,0.0,7.2868,0.967,0.0,1.7482
95130,0.3537,6.5875,4.6187,0.8744,2.2329,2.2952
95131,1.5934,2.9341,1.8481,2.7568,3.1055,1.6341
95132,0.0,2.37,3.5155,1.0969,2.1248,0.9434
95133,0.5341,2.0685,4.7611,0.9668,2.2149,2.6788
95134,0.463,0.609,1.752,0.0,1.5667,1.0531
85954,2.5177,3.2483,9.9562,0.8015,4.2615,4.6305
95135,0.5605,2.5132,6.4753,0.9277,3.3855,0.5605
95136,0.8506,2.6093,2.7302,0.5397,2.5275,2.181
95137,0.7523,1.2802,3.623,0.0,0.0,0.6486
95138,0.0,1.0366,3.3704,0.0,1.0837,2.9552
95139,0.0,0.7948,6.2528,0.0,4.0941,3.5914
95140,0.0,0.0,1.1446,0.0,0.0,1.1446
95141,0.0,0.0,2.0679,1.0331,1.0331,0.0
95142,1.1827,2.9749,5.068,0.0,0.0,3.5241
95143,2.9284,2.7042,5.1955,0.9696,4.9818,2.0696
95144,0.0,0.0,0.7668,0.7668,2.1593,0.0
85955,2.6805,5.7365,5.1357,0.0,1.4893,2.4254
95145,0.0,1.2003,3.3131,0.0,0.0,1.2003
95146,2.2349,0.9216,0.0,0.0,0.0,2.2349
95147,0.9365,2.0767,4.7422,1.6651,1.6128,1.6865
95148,0.2325,3.3515,3.8959,0.0,0.8067,2.7462
95149,0.5443,0.0,1.9612,0.0,0.8864,0.7875
95150,0.4764,2.9074,4.1083,1.604,1.2145,0.0
95151,1.3082,1.7771,2.0521,0.0,3.0445,0.0
95152,0.441,4.6122,6.4047,0.0,0.6038,2.3033
95153,1.8196,2.2973,5.5085,0.0,0.8633,2.7495
95154,0.4869,0.7447,2.7841,0.8621,2.7841,4.0591
85956,1.2851,6.0908,5.3927,1.7282,3.3785,2.1588
95155,0.0,2.1883,2.3223,1.9741,1.1789,0.0
95156,0.526,4.9792,0.0,0.0,2.4264,0.0
95157,0.0,1.8827,1.1196,1.5391,1.9959,0.0
95158,0.1908,3.1814,8.5265,1.5458,0.6693,5.4704
95159,0.0,7.8723,4.7807,0.0,0.9082,1.5543
95160,0.4518,1.5731,2.6926,0.0,0.0,2.0519
95161,0.0,0.0,4.3371,0.0,0.0,0.0
95162,1.4154,1.6014,2.4203,0.0,2.2553,1.5034
95163,1.8869,3.6547,4.6186,0.8521,2.2346,2.8588
95164,0.0,3.6423,5.8151,1.1245,4.5835,0.6184
85957,2.6859,2.7363,6.7363,0.984,1.3741,2.3294
95165,0.0,4.0831,3.4951,1.3153,4.0831,0.0
95166,1.9636,0.0,3.9325,0.0,1.9636,1.9636
95167,0.0,0.0,3.6583,2.8972,2.8972,1.7148
95168,0.0,1.273,1.273,1.2683,1.273,0.0
95169,0.0,1.5059,0.0,0.0,0.0,1.5059
95172,1.6747,1.6747,5.5861,2.6675,0.8352,3.6961
95173,2.3603,4.0256,5.3695,2.3541,3.1196,2.5903
95174,1.601,1.9156,3.9569,0.0,0.785,0.4705
95175,0.3998,3.2919,3.9787,0.0,1.9126,3.0385
85958,1.7237,1.7423,5.8207,0.0,4.5071,0.6843
95177,0.8072,1.712,5.1986,0.0,3.6363,0.4778
95178,0.6106,2.2767,5.5276,1.0171,3.446,4.6241
95179,1.9793,1.3816,2.0277,1.9793,2.6316,1.1349
95180,0.8276,4.5824,3.4126,0.7321,2.7068,2.7536
95181,1.8057,1.1904,3.2961,1.4513,1.8685,2.4811
95182,0.0,2.7421,5.6132,0.0,0.0,2.7421
95183,0.5112,0.0,1.0005,0.0,0.0,0.0
95184,0.0,0.0,0.0,0.0,0.0,0.0
95185,0.5598,0.0,0.6812,0.0,0.0,0.5598
95186,0.0,1.1797,0.0,2.3748,1.1797,0.0
85038,0.484,0.9404,5.6639,1.9064,2.6738,0.0
95187,0.0,0.0,2.7265,1.2028,2.6397,0.6213
95188,0.7378,3.0071,2.5374,1.0859,4.2358,3.0174
95189,0.2973,4.5511,7.2346,0.3551,1.5467,2.766
95190,0.0,3.8607,5.4793,2.4363,1.9423,1.5528
95191,0.4212,1.1084,1.7486,0.0,0.0,0.8461
95192,1.586,2.0453,5.0057,0.7294,1.3473,1.3473
95193,1.8147,4.0384,9.6127,0.0,2.0891,2.0624
95194,1.552,2.9532,5.6727,0.0,3.7004,0.0
95195,1.5888,0.0,0.0,0.0,0.0,1.8394
95196,2.7381,2.2179,1.3028,0.0,1.3028,1.4416
85960,1.8425,6.6313,8.0925,1.2577,7.8312,3.5715
95197,0.0,1.9669,1.9669,1.9669,1.9669,0.0
95198,0.0,0.6496,3.9341,0.0,2.3677,1.5427
95199,3.5871,4.3341,6.2612,1.684,2.6951,3.0327
95200,2.4111,4.0251,1.0823,3.5819,1.8786,2.4111
95201,1.0455,2.6617,1.085,1.0042,2.6617,0.612
95202,0.0,2.0368,2.0728,0.0,1.4372,0.8957
95203,1.2934,2.77,4.35,0.0,1.2934,4.1588
95204,0.0,1.1396,1.1891,0.0,0.0,1.8295
95205,0.551,0.0,0.0,0.0,0.0,0.0
95206,0.0,3.2307,5.744,0.0,1.8952,1.5727
85961,1.8133,0.9008,0.0,1.244,1.2528,2.1059
95207,2.5955,3.6,2.3602,1.6235,2.6286,0.5799
95208,0.0,0.0,1.7889,0.0,0.0,0.0
95209,0.0,3.6302,2.1922,0.0,1.1865,1.1865
95210,0.0,1.1815,1.1513,3.3754,1.1815,2.4618
95211,1.8998,6.7706,5.4661,2.1688,6.4389,1.8943
95212,1.4152,1.6823,4.0176,1.6533,6.9498,3.2051
95213,0.5129,0.0,2.7595,1.0104,0.0,0.9653
95214,0.0,4.6937,4.1469,0.0,1.0097,1.3697
95215,0.566,0.0,3.0091,0.0,0.0,0.6506
95216,0.5256,0.9015,0.0,0.0,0.0,0.0
85962,0.0,1.3684,0.0,0.0,1.3684,0.0
95217,0.0,2.1146,1.1537,2.4616,0.0,2.5605
95218,0.4872,0.0,3.0896,1.0108,1.0108,0.5643
95219,0.0,2.8294,4.8664,1.2547,1.4407,0.0
95220,1.1274,3.3249,8.4311,1.7522,1.1274,1.1274
95221,0.9105,1.1039,9.436,2.4241,1.5051,1.883
95222,0.4378,2.0055,4.0694,2.6363,2.4361,1.0809
95223,0.0,0.8222,3.2435,0.0,0.8222,0.8222
95224,0.8742,3.6692,7.3469,2.0707,2.2112,0.6716
95225,3.4441,8.7987,7.5666,1.5305,6.0448,3.677
95226,2.9848,4.0432,7.0433,0.5454,1.3096,0.7401
85963,0.0,2.8426,2.6694,0.0,2.3323,0.0
95227,0.2669,3.8501,5.0814,0.8184,2.8825,3.7975
95228,0.0,0.0,0.0,1.7846,0.0,0.0
95229,1.0075,3.9183,3.2897,1.5945,2.9823,2.7774
95230,0.3727,0.0,1.6341,1.6118,1.6438,0.803
95231,0.3969,0.8811,2.7203,0.0,0.9826,0.0
95232,0.5505,5.7231,5.49,0.0,3.9842,5.3405
95233,0.3709,1.2448,3.7186,1.9652,1.1601,1.1601
95234,3.987,4.7875,5.5824,1.2434,6.1264,3.4129
95235,1.5852,2.6874,3.154,3.4859,3.4253,2.9346
95236,0.0,0.7611,3.5144,0.7611,3.4591,0.0
85964,0.407,1.7697,6.5564,2.3893,5.1749,0.6785
95237,1.338,0.0,5.2975,1.802,5.3196,1.5846
95238,0.0,0.8884,2.8454,0.0,1.5074,0.0
95239,0.8061,2.3853,4.8203,1.0981,2.4956,2.2741
95240,0.9192,3.9653,3.6172,1.2522,2.8257,1.4777
95241,0.0,2.9935,3.0461,0.9339,0.9347,1.8837
95242,0.5117,4.1879,0.5655,0.0,0.0,0.0
95243,0.3037,2.1898,5.4341,0.0,1.4335,2.2007
95244,0.906,2.8575,3.7122,2.2002,3.738,5.3462
95245,1.3378,4.1521,3.6249,0.904,0.0,3.2258
95246,0.8677,5.6874,5.3645,2.2702,3.9495,1.4309
85965,0.8045,1.1014,3.4851,0.6025,1.376,2.0792
95247,3.8025,1.5869,1.768,0.0,1.6238,3.6016
95248,0.0,3.326,4.2791,1.8838,0.65,0.3554
95249,0.2556,4.508,6.717,0.0,4.7322,0.0
95250,0.0,5.0489,11.4871,0.8664,3.6121,0.4883
95251,0.5342,1.6448,3.065,0.0,0.0,0.0
95253,1.1576,2.294,2.294,0.0,3.1333,2.294
95254,0.0,0.0,3.036,0.0,1.475,0.0
95255,0.0,2.9336,5.6708,2.4126,4.46,1.4939
95256,0.3194,4.302,9.3771,0.0,1.7639,1.4456
95257,0.0,0.8356,0.0,0.0,0.8356,0.0
95258,0.0,1.0575,1.1917,0.0,1.0575,0.0
95259,3.1912,2.5733,4.2701,4.3706,4.7819,2.8882
95260,1.8391,6.7026,9.9065,1.7506,1.914,2.9856
95261,1.2995,3.2552,5.243,0.6972,3.1424,3.7877
95262,0.2383,2.0658,5.4242,0.0,2.1102,3.2903
95263,0.0,0.0,2.9591,0.0,1.7202,0.0
95264,0.0,1.9494,1.727,0.0,1.9494,0.6954
95265,0.0,1.3429,3.3444,1.4876,1.3429,1.7501
95266,1.3933,1.1457,3.122,0.0,0.0,2.385
85967,1.931,5.6794,3.648,0.9497,1.9749,1.2094
95267,2.9186,7.6967,3.604,0.0,0.7741,3.4736
95268,0.9368,7.3477,8.7474,0.7073,3.4954,6.0895
95269,1.0545,1.3961,8.0593,0.0,2.8899,3.1106
95270,0.0,2.4637,5.0739,1.4797,0.0,4.7257
95271,2.1055,0.0,5.6507,2.16,1.8536,2.1055
95272,0.0,0.5827,5.8309,0.0,1.6382,3.8545
95273,1.2184,0.0,1.3435,0.0,0.0,0.6435
95274,1.533,1.1248,0.9869,1.6012,1.6012,3.1795
95275,2.8978,1.3803,4.3181,1.696,2.1757,4.0048
95276,1.0439,3.3056,3.9346,1.2038,1.9598,3.1773
95277,1.2929,4.8454,7.402,1.1499,1.1499,3.6188
95278,1.1357,3.3903,0.8421,3.1549,1.4125,1.964
95279,0.0,3.9285,0.8421,0.8188,2.6728,1.2556
95280,0.9136,0.7323,1.4378,0.0,0.7323,2.8032
95281,0.0,6.4135,6.8814,2.4222,7.2408,1.7646
95282,0.0,2.1808,0.0,0.0,0.0,0.0
95283,1.1594,1.7741,1.576,2.7633,3.9227,2.4926
95284,1.1559,2.5538,3.63,1.8164,3.5408,3.7342
95285,0.0,1.7892,3.4912,0.594,4.7085,1.9972
95286,1.3704,0.9296,4.7413,1.3974,2.327,1.7964
85969,2.5818,8.8712,2.8106,0.0,0.0,1.7756
85039,0.0,5.524,4.7489,1.5331,4.0829,2.9406
95287,2.8574,3.3542,4.5233,1.9528,2.9732,2.7199
95289,1.4673,3.2326,2.8927,0.0,1.4673,0.7501
95290,1.3165,3.9021,4.3811,1.3365,2.2255,1.5062
95291,1.3935,3.8019,3.6498,2.3337,0.7459,2.3334
95292,0.5802,0.729,2.4074,2.5936,3.9911,3.7581
95293,0.39,0.7008,0.4942,0.8888,0.8098,0.7008
95294,0.5361,1.1462,4.9862,1.4497,4.4176,1.6823
95295,1.2989,2.036,7.6495,1.2123,3.2139,2.5125
95296,1.1951,1.545,3.1281,0.0,3.2425,0.5658
95297,0.0,5.2693,5.6795,1.1794,2.967,0.0
95298,1.8734,6.5572,6.8835,2.3381,3.0795,1.8317
95299,2.2118,4.3443,11.1296,1.5611,2.2199,1.8363
95301,0.7706,0.0,6.8954,1.0878,0.0,4.2988
95302,0.852,1.0314,3.2882,2.403,0.0,1.889
95303,1.4779,0.0,0.0,0.0,0.0,0.0
95304,0.9632,1.1307,1.1307,0.0,2.8025,2.0939
95305,1.3716,0.6047,7.0507,1.3177,0.5572,3.6272
95306,0.0,2.413,4.2072,1.3127,0.0,1.3127
85971,0.2426,0.0,2.1816,0.0,0.0,0.8759
95307,1.1836,0.0,5.9642,0.0,0.0,0.6639
95308,1.1038,2.7082,0.0,0.6161,0.0,0.7681
95309,1.421,2.5494,2.5659,0.0,0.0,1.9068
95310,2.5199,2.5199,0.0,1.8719,0.0,0.0
95311,1.0825,3.3517,4.991,2.0945,3.1796,1.3962
95312,1.0731,1.2091,2.1927,1.9652,1.9652,1.4039
95313,0.0,3.0541,2.8729,0.9317,2.4248,0.0
95314,1.63,6.6094,6.4214,3.0211,4.0309,4.4435
95315,0.6603,0.0,4.1936,0.0,0.0,1.4313
95316,1.8053,6.4157,6.5346,1.2952,5.3378,2.8934
85972,0.2426,0.0,2.1816,0.0,0.0,0.8759
95317,0.0,0.0,1.4019,0.0,0.0,0.7159
95318,1.5884,4.1402,7.3895,2.0586,4.4505,1.8142
95319,0.0,5.3132,3.243,1.0769,2.879,1.8539
95320,2.3481,2.9795,6.0763,2.2645,3.7614,1.5316
95321,0.0,1.3025,1.9346,1.3025,1.3025,0.0
95322,0.0,0.9214,2.6891,2.0663,2.5239,1.0791
95323,2.0392,3.3416,3.5167,3.6805,4.1718,4.2568
95324,0.4147,3.723,5.0039,0.0,3.1092,4.4597
95325,1.561,2.0993,4.3215,0.0,0.0,2.0841
95326,1.1737,2.2722,4.3041,2.9936,0.0,0.4919
85973,1.0479,0.7584,1.5015,1.5068,1.5068,0.4498
95327,1.3246,3.6867,4.3257,2.0422,3.1167,4.0555
95328,2.2252,2.2118,5.454,0.0,1.3546,4.6005
95329,0.5639,4.1261,5.5144,0.5796,0.8975,3.6324
95330,0.4327,2.3722,3.2513,0.8614,2.2248,2.4601
95331,0.4664,2.6518,2.1168,0.9051,0.9051,1.0421
95332,2.158,5.6117,6.0738,1.5713,3.7073,0.6543
95333,2.0071,4.2478,5.5964,0.7381,3.5902,2.8454
95334,2.3064,6.7617,6.7124,2.3685,5.3366,3.0278
95335,0.8837,3.0099,1.9357,0.0,1.9393,1.5791
95336,0.2601,2.2009,3.2841,1.3885,0.5624,2.0711
85974,0.7736,7.553,4.9785,4.2367,4.1655,4.6721
95337,0.8109,1.9578,1.357,0.0,0.0,0.8109
95338,0.0588,5.094,2.0751,1.7092,1.1004,1.0463
95339,0.0,0.0,2.6756,0.0,0.0,0.0
95340,0.0,3.115,3.7963,0.0,0.5183,0.5263
95341,1.9567,3.1839,9.9636,0.0,2.0758,5.7029
95342,1.205,4.2577,7.3875,0.0,2.8987,3.2861
95343,1.5293,6.3359,5.833,2.886,2.2909,5.3604
95344,0.0,2.9797,2.3184,0.0,1.4131,3.0084
95345,0.0,3.0765,2.1615,0.0,1.8897,0.7922
95346,0.0,0.0,3.7541,1.1825,1.1825,2.0977
85975,1.598,5.6105,5.0773,0.0,4.9383,1.095
95347,0.0,2.6916,2.3667,0.7888,0.8403,0.5456
95348,0.0,1.4733,2.5345,1.0956,0.0,0.0
95349,1.2413,4.5185,8.3394,0.0,1.9656,3.2168
95350,0.4371,5.3483,9.7487,0.9744,0.9744,2.536
95351,0.0,5.4649,6.7259,0.0,1.8572,4.0147
95352,0.0,1.4587,1.2633,0.0,0.0,1.0526
95353,0.0,2.4014,4.5717,1.1352,0.0,0.0
95354,0.6411,1.4126,1.6301,1.1819,1.3103,0.6411
95355,0.9939,3.2055,6.3091,0.4257,1.8488,3.683
95356,1.8,3.2166,13.6534,2.2167,1.9952,2.2556
85976,0.4023,1.6233,4.2828,0.6766,0.0,1.4976
95357,1.2067,5.0542,7.9942,1.069,1.3482,4.0152
95358,0.0,2.291,2.3696,1.3485,1.9635,0.0
95359,0.406,3.8499,2.9541,1.1302,3.2351,0.0
95360,1.3227,4.3693,4.9869,0.0,2.1042,2.604
95361,0.0,2.4138,1.2844,0.6876,0.0,0.0
95362,0.0,0.0,0.8184,0.8184,0.8184,0.0
95363,0.0,0.0,7.9877,1.169,0.0,3.7867
95364,0.485,2.722,4.2421,1.3072,3.2258,0.8957
95365,0.4389,4.4545,6.3162,0.8354,1.9147,1.3189
95366,2.5958,1.5463,3.8062,2.8616,2.8842,3.8215
95367,2.5958,1.5463,3.8062,2.8616,2.8842,3.8215
95368,0.4571,0.0,1.7504,3.2388,1.85,2.3897
95369,0.107,3.5314,4.1869,0.7835,2.2213,1.5173
95370,1.2881,0.8176,3.7724,0.0,3.7334,4.1064
95371,0.3881,2.5948,2.4442,1.3451,0.0,1.2997
95372,0.0,1.7492,4.0171,1.3859,1.789,3.6134
95373,0.1164,2.3277,3.0814,0.8457,0.5892,1.4829
95374,0.2309,0.0,0.7508,0.7984,1.8081,0.0
95375,1.1949,4.9668,4.1863,0.3211,1.5887,1.7455
95376,0.6302,1.8241,0.69,0.0,0.0,1.3202
85978,1.0477,0.9831,4.0959,1.6024,0.0,2.8292
95377,1.4367,1.1211,4.7753,1.5259,0.9085,4.1046
95379,0.0,3.8958,1.354,0.5998,1.2934,0.0
95380,0.0,0.0,2.951,2.7107,2.951,0.0
95381,1.0574,0.7567,5.2345,2.4229,2.4403,0.7567
95382,1.0226,2.1665,3.5045,1.1078,4.6187,0.5598
95383,0.6978,3.6363,7.1902,0.0,0.6584,2.2173
95384,1.0112,5.7177,8.3987,1.0659,2.3166,2.0787
95385,0.4325,2.5673,1.901,0.0,0.0,0.0
95386,0.0,3.2928,7.8041,0.0,3.355,4.9207
85979,0.6752,0.0,1.478,0.0,0.9666,1.1746
85040,0.0,0.0,4.0083,0.8422,1.2573,4.6803
95387,0.8703,0.8703,6.1483,0.0,1.3358,1.7163
95388,0.8648,3.4654,4.883,2.8453,3.3369,4.6236
95389,0.0,2.3121,2.7047,1.5469,2.3121,1.1224
95390,0.8631,2.2858,8.0539,0.0,1.3413,4.6711
95391,2.2049,1.3977,2.7395,0.0,1.4297,2.5164
95392,0.0,3.0751,1.4279,0.9524,1.6472,0.0
95393,0.2545,2.8181,5.103,0.0,1.2855,4.8644
95394,0.6499,3.7754,6.4164,0.3191,2.4179,3.1372
95395,1.8221,3.7966,7.8752,0.0,3.9761,4.7347
95396,0.4553,1.7041,4.9003,0.2686,2.3128,1.1693
85980,3.1145,3.0757,5.8668,0.0,1.3023,3.1535
95397,0.5944,3.7626,2.3591,0.9582,2.8328,2.3309
95398,0.4394,0.9562,3.8634,0.0,0.589,0.9161
95399,1.261,5.9339,3.1965,0.0,1.106,0.0
95400,0.0,2.0587,2.3949,0.0,3.3133,0.8246
95401,0.547,1.9159,4.261,1.5366,0.0,0.547
95402,1.028,2.6462,6.055,0.0,2.9421,2.5503
95403,0.4674,2.657,4.31,1.4204,3.6869,2.5822
